Mon Oncle Antoine,Claude Jutra,1971,Canada
Trafic,Jacques Tati,1971,France
Brand Upon the Brain!,Guy Maddin,2006,United States
The Small Back Room,Michael Powell,1949,United Kingdom
Twenty-Four Eyes,Keisuke Kinoshita,1954,Japan
La Ronde,Max Ophuls,1950,France
Le Plaisir,Max Ophuls,1952,France
The Earrings of Madame De…,Max Ophuls,1953,France
An Autumn Afternoon,Yasujiro Ozu,1962,Japan
Le Doulos,Jean-Pierre Melville,1962,France
Le deuxième souffle,Jean-Pierre Melville,1966,France
Missing,Costa-Gavras,1982,United States
Bottle Rocket,Wes Anderson,1996,United States
Fanfan La Tulipe,Christian-Jaque,1965,France
The Spy Who Came In From the Cold,Martin Ritt,1994,United States
Chungking Express,Wong Kar-Wai,1991,Hong Kong
Europa,Lars von Trier,1982,Denmark
White Dog,Samuel Fuller,1966,United States
The Taking of Power by Louis XIV,Roberto Rossellini,1954,Italy
Magnificent Obsession,Douglas Sirk,1983,United States
El Norte,Gregory Nava,1983,United States
The Exterminating Angel,Luis Buñuel,1962,Mexico
Simon of the Desert,Luis Buñuel,1965,Mexico
Hobson's Choice,David Lean,1954,United Kingdom
The Last Metro,François Truffaut,1980,France
Il Generale Della Rovere,Roberto Rossellini,1959,Italy
Danton,Andrzej Wajda,1983,France
Dodes'Ka-Den,Akira Kurosawa,1970,Japan
In the Realm of the Senses,Nagisa Oshima,1976,Japan
Empire of Passion,Nagisa Oshima,1978,Japan
Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,,France
The Hit,Stephen Frears,1984,United Kingdom
Wise Blood,John Huston,1979,United States
"Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura",Shohei Imamura,,Japan
Pigs and Battleships,Shohei Imamura,1962,Japan
The Insect Woman,Shohei Imamura,1963,Japan
Intentions of Murder,Shohei Imamura,1964,Japan
The Friends of Eddie Coyle,Peter Yates,1973,United States
The Curious Case of Benajamin Button,David Fincher,2008,United States
Bergman Island,Marie Nyreröd,2006,Sweden
Last Year At Marienbad,Alain Resnais,1961,France
My Dinner with André,Louis Malle,1981,United States
The Human Condition,Masaki Kobayashi,1959,Japan
Made in U.S.A.,Jean-Luc Godard,1966,France
2 or 3 Things I Know About Her,Jean-Luc Godard,1967,France
Repulsion,Roman Polanski,1965,United Kingdom
